|id|id_3char|name
0|afago|ago|Angola
1|afbdi|bdi|Burundi
2|afben|ben|Benin
3|afbfa|bfa|Burkina Faso
4|afbwa|bwa|Botswana
5|afcaf|caf|Central African Republic
6|afciv|civ|Cote d'Ivoire
7|afcmr|cmr|Cameroon
8|afcod|cod|Democratic Republic of the Congo
9|afcog|cog|Republic of the Congo
10|afcom|com|Comoros
11|afcpv|cpv|Cape Verde
12|afdji|dji|Djibouti
13|afdza|dza|Algeria
14|afegy|egy|Egypt
15|aferi|eri|Eritrea
16|afesh|esh|Western Sahara
17|afeth|eth|Ethiopia
18|afgab|gab|Gabon
19|afgha|gha|Ghana
20|afgin|gin|Guinea
21|afgmb|gmb|Gambia
22|afgnb|gnb|Guinea-Bissau
23|afgnq|gnq|Equatorial Guinea
24|afken|ken|Kenya
25|aflbr|lbr|Liberia
26|aflby|lby|Libya
27|aflso|lso|Lesotho
28|afmar|mar|Morocco
29|afmdg|mdg|Madagascar
30|afmli|mli|Mali
31|afmoz|moz|Mozambique
32|afmrt|mrt|Mauritania
33|afmus|mus|Mauritius
34|afmwi|mwi|Malawi
35|afmyt|myt|Mayotte
36|afnam|nam|Namibia
37|afner|ner|Niger
38|afnga|nga|Nigeria
39|afreu|reu|Reunion
40|afrwa|rwa|Rwanda
41|afsdn|sdn|Sudan
42|afsen|sen|Senegal
43|afshn|shn|Saint Helena
44|afsle|sle|Sierra Leone
45|afsom|som|Somalia
46|afssd|ssd|South Sudan
47|afstp|stp|Sao Tome and Principe
48|afswz|swz|Swaziland
49|afsyc|syc|Seychelles
50|aftcd|tcd|Chad
51|aftgo|tgo|Togo
52|aftun|tun|Tunisia
53|aftza|tza|Tanzania
54|afuga|uga|Uganda
55|afzaf|zaf|South Africa
56|afzmb|zmb|Zambia
57|afzwe|zwe|Zimbabwe
58|anata|ata|Antarctica
59|anatf|atf|French South Antarctic Territory
60|anbvt|bvt|Bouvet Island
61|anhmd|hmd|Heard Island and McDonald Islands
62|ansgs|sgs|South Georgia South Sandwich Islands
63|asafg|afg|Afghanistan
64|asare|are|United Arab Emirates
65|asarm|arm|Armenia
66|asaze|aze|Azerbaijan
67|asbgd|bgd|Bangladesh
68|asbhr|bhr|Bahrain
69|asbrn|brn|Brunei
70|asbtn|btn|Bhutan
71|ascck|cck|Cocos (Keeling) Islands
72|aschn|chn|China
73|ascxr|cxr|Christmas Island
74|ascyp|cyp|Cyprus
75|asgeo|geo|Georgia
76|ashkg|hkg|Hong Kong
77|asidn|idn|Indonesia
78|asind|ind|India
79|asiot|iot|British Indian Ocean Territory
80|asirn|irn|Iran
81|asirq|irq|Iraq
82|asisr|isr|Israel
83|asjor|jor|Jordan
84|asjpn|jpn|Japan
85|askaz|kaz|Kazakhstan
86|askgz|kgz|Kyrgyzstan
87|askhm|khm|Cambodia
88|askor|kor|South Korea
89|askwt|kwt|Kuwait
90|aslao|lao|Laos
91|aslbn|lbn|Lebanon
92|aslka|lka|Sri Lanka
93|asmac|mac|Macau
94|asmdv|mdv|Maldives
95|asmid|mid|Midway
96|asmmr|mmr|Burma
97|asmng|mng|Mongolia
98|asmys|mys|Malaysia
99|asnpl|npl|Nepal
100|asomn|omn|Oman
101|aspak|pak|Pakistan
102|asphl|phl|Philippines
103|asprk|prk|North Korea
104|aspse|pse|Palestine
105|asqat|qat|Qatar
106|assau|sau|Saudi Arabia
107|assgp|sgp|Singapore
108|assyr|syr|Syria
109|astha|tha|Thailand
110|astjk|tjk|Tajikistan
111|astkm|tkm|Turkmenistan
112|astls|tls|Timor-Leste
113|astur|tur|Turkey
114|astwn|twn|Taiwan
115|asuzb|uzb|Uzbekistan
116|asvnm|vnm|Vietnam
117|asyar|yar|Yemen Arab Republic
118|asyem|yem|Yemen
119|asymd|ymd|Democratic Yemen
120|eualb|alb|Albania
121|euand|and|Andorra
122|euaut|aut|Austria
123|eubel|bel|Belgium
124|eubgr|bgr|Bulgaria
125|eubih|bih|Bosnia and Herzegovina
126|eublr|blr|Belarus
127|eublx|blx|Belgium-Luxembourg
128|euche|che|Switzerland
129|euchi|chi|Channel Islands
130|eucsk|csk|Czechoslovakia
131|eucze|cze|Czech Republic
132|euddr|ddr|Democratic Republic of Germany
133|eudeu|deu|Germany
134|eudnk|dnk|Denmark
135|euesp|esp|Spain
136|euest|est|Estonia
137|eufdr|fdr|Federal Republic of Germany
138|eufin|fin|Finland
139|eufra|fra|France
140|eufro|fro|Faroe Islands
141|eugbr|gbr|United Kingdom
142|eugib|gib|Gibraltar
143|eugrc|grc|Greece
144|euhrv|hrv|Croatia
145|euhun|hun|Hungary
146|euimn|imn|Isle of Man
147|euirl|irl|Ireland
148|euisl|isl|Iceland
149|euita|ita|Italy
150|euksv|ksv|Kosovo
151|eulie|lie|Liechtenstein
152|eultu|ltu|Lithuania
153|eulux|lux|Luxembourg
